date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,1
2020-03-23,1
2020-03-24,1
2020-03-25,2
2020-03-26,4
2020-03-27,4
2020-03-28,4
2020-03-29,4
2020-03-30,4
2020-03-31,4
2020-04-01,4
2020-04-02,6
2020-04-03,6
2020-04-04,7
2020-04-05,7
2020-04-06,11
2020-04-07,14
2020-04-08,14
2020-04-09,15
2020-04-10,15
2020-04-11,18
2020-04-12,18
2020-04-13,21
2020-04-14,23
2020-04-15,25
2020-04-16,30
2020-04-17,30
2020-04-18,30
2020-04-19,33
2020-04-20,36
2020-04-21,36
2020-04-22,40
2020-04-23,42
2020-04-24,43
2020-04-25,47
2020-04-26,50
2020-04-27,57
2020-04-28,58
2020-04-29,60
2020-04-30,64
2020-05-01,68
2020-05-02,72
2020-05-03,85
2020-05-04,90
2020-05-05,95
2020-05-06,104
2020-05-07,106
2020-05-08,109
2020-05-09,115
2020-05-10,120
2020-05-11,122
2020-05-12,127
2020-05-13,132
2020-05-14,136
2020-05-15,153
2020-05-16,168
2020-05-17,169
2020-05-18,173
2020-05-19,178
2020-05-20,187
2020-05-21,193
2020-05-22,205
2020-05-23,216
2020-05-24,218
2020-05-25,219
2020-05-26,220
2020-05-27,227
2020-05-28,235
2020-05-29,246
2020-05-30,249
2020-05-31,257
2020-06-01,265
2020-06-02,270
2020-06-03,294
2020-06-04,300
2020-06-05,309
2020-06-06,327
2020-06-07,357
2020-06-08,369
2020-06-09,384
2020-06-10,405
2020-06-11,426
2020-06-12,446
2020-06-13,451
2020-06-14,471
2020-06-15,478
2020-06-16,491
2020-06-17,504
2020-06-18,546
2020-06-19,548
2020-06-20,569
2020-06-21,581
2020-06-22,598
2020-06-23,618
2020-06-24,639
2020-06-25,675
2020-06-26,683
2020-06-27,703
2020-06-28,721
2020-06-29,733
2020-06-30,746
2020-07-01,774
2020-07-02,807
2020-07-03,819
2020-07-04,826
2020-07-05,864
2020-07-06,898
2020-07-07,920
2020-07-08,936
2020-07-09,957
2020-07-10,971
2020-07-11,994
2020-07-12,1010
2020-07-13,1012
2020-07-14,1048
2020-07-15,1094
2020-07-16,1113
2020-07-17,1147
2020-07-18,1164
2020-07-19,1181
2020-07-20,1185
2020-07-21,1186
2020-07-22,1190
2020-07-23,1211
2020-07-24,1225
2020-07-25,1248
2020-07-26,1259
2020-07-27,1269
2020-07-28,1270
2020-07-29,1271
2020-07-30,1271
2020-07-31,1272
2020-08-01,1283
2020-08-02,1284
2020-08-03,1288
2020-08-04,1288
2020-08-05,1294
2020-08-06,1298
2020-08-07,1307
2020-08-08,1312
2020-08-09,1312
2020-08-10,1328
2020-08-11,1344
2020-08-12,1354
2020-08-13,1363
2020-08-14,1363
2020-08-15,1370
2020-08-16,1375
2020-08-17,1375
2020-08-18,1375
2020-08-19,1375
2020-08-20,1385
2020-08-21,1385
2020-08-22,1385
2020-08-23,1387
2020-08-24,1389
2020-08-25,1397
2020-08-26,1401
2020-08-27,1401
2020-08-28,1402
2020-08-29,1402
2020-08-30,1402
2020-08-31,1402
2020-09-01,1406
2020-09-02,1409
2020-09-03,1409
2020-09-04,1409
2020-09-05,1409
2020-09-06,1412
2020-09-07,1415
2020-09-08,1418
2020-09-09,1420
2020-09-10,1420
2020-09-11,1420
2020-09-12,1420
2020-09-13,1420
2020-09-14,1425
2020-09-15,1426
2020-09-16,1436
2020-09-17,1436
2020-09-18,1437
2020-09-19,1437
2020-09-20,1441
2020-09-21,1444
2020-09-22,1445
2020-09-23,1446
2020-09-24,1451
2020-09-25,1451
2020-09-26,1453
2020-09-27,1453
2020-09-28,1455
2020-09-29,1458
2020-09-30,1458
2020-10-01,1458
2020-10-02,1458
2020-10-03,1462
2020-10-04,1462
2020-10-05,1466
2020-10-06,1467
2020-10-07,1469
2020-10-08,1470
2020-10-09,1472
2020-10-10,1473
2020-10-11,1477
2020-10-12,1479
