date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,2
2020-03-21,2
2020-03-22,2
2020-03-23,6
2020-03-24,7
2020-03-25,8
2020-03-26,8
2020-03-27,8
2020-03-28,8
2020-03-29,15
2020-03-30,15
2020-03-31,15
2020-04-01,16
2020-04-02,16
2020-04-03,18
2020-04-04,20
2020-04-05,21
2020-04-06,24
2020-04-07,25
2020-04-08,27
2020-04-09,30
2020-04-10,31
2020-04-11,33
2020-04-12,33
2020-04-13,40
2020-04-14,40
2020-04-15,41
2020-04-16,41
2020-04-17,43
2020-04-18,44
2020-04-19,47
2020-04-20,57
2020-04-21,57
2020-04-22,62
2020-04-23,72
2020-04-24,72
2020-04-25,72
2020-04-26,74
2020-04-27,76
2020-04-28,76
2020-04-29,76
2020-04-30,81
2020-05-01,85
2020-05-02,85
2020-05-03,88
2020-05-04,100
2020-05-05,101
2020-05-06,101
2020-05-07,129
2020-05-08,146
2020-05-09,151
2020-05-10,182
2020-05-11,209
2020-05-12,209
2020-05-13,234
2020-05-14,273
2020-05-15,310
2020-05-16,358
2020-05-17,456
2020-05-18,533
2020-05-19,533
2020-05-20,596
2020-05-21,734
2020-05-22,812
2020-05-23,865
2020-05-24,865
2020-05-25,958
2020-05-26,1174
2020-05-27,1320
2020-05-28,1320
2020-05-29,1584
2020-05-30,1865
2020-05-31,2124
2020-06-01,2226
2020-06-02,2226
2020-06-03,2507
2020-06-04,2640
2020-06-05,2740
2020-06-06,3072
2020-06-07,3334
2020-06-08,3538
2020-06-09,3662
2020-06-10,3796
2020-06-11,3941
2020-06-12,3941
2020-06-13,4165
2020-06-14,4165
2020-06-15,4441
2020-06-16,4547
2020-06-17,4688
2020-06-18,4916
2020-06-19,4980
2020-06-20,5077
2020-06-21,5077
2020-06-22,5211
2020-06-23,5324
2020-06-24,5429
2020-06-25,5543
2020-06-26,5722
2020-06-27,5777
2020-06-28,5777
2020-06-29,5933
2020-06-30,5975
2020-07-01,6040
2020-07-02,6101
2020-07-03,6230
2020-07-04,6294
2020-07-05,6333
2020-07-06,6371
2020-07-07,6432
2020-07-08,6486
2020-07-09,6486
2020-07-10,6617
2020-07-11,6690
2020-07-12,6727
2020-07-13,6727
2020-07-14,6727
2020-07-15,6831
2020-07-16,6948
2020-07-17,6975
2020-07-18,7053
2020-07-19,7053
2020-07-20,7053
2020-07-21,7100
2020-07-22,7167
2020-07-23,7197
2020-07-24,7260
2020-07-25,7297
2020-07-26,7315
2020-07-27,7340
2020-07-28,7340
2020-07-29,7378
2020-07-30,7412
2020-07-31,7424
2020-08-01,7468
2020-08-02,7468
2020-08-03,7511
2020-08-04,7511
2020-08-05,7544
2020-08-06,7582
2020-08-07,7599
2020-08-08,7611
2020-08-09,7634
2020-08-10,7634
