date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,1
2020-04-16,1
2020-04-17,3
2020-04-18,3
2020-04-19,5
2020-04-20,5
2020-04-21,6
2020-04-22,6
2020-04-23,6
2020-04-24,6
2020-04-25,7
2020-04-26,7
2020-04-27,7
2020-04-28,7
2020-04-29,7
2020-04-30,7
2020-05-01,7
2020-05-02,7
2020-05-03,7
2020-05-04,9
2020-05-05,10
2020-05-06,11
2020-05-07,11
2020-05-08,11
2020-05-09,11
2020-05-10,11
2020-05-11,11
2020-05-12,11
2020-05-13,14
2020-05-14,15
2020-05-15,15
2020-05-16,16
2020-05-17,16
2020-05-18,16
2020-05-19,18
2020-05-20,18
2020-05-21,18
2020-05-22,19
2020-05-23,20
2020-05-24,20
2020-05-25,20
2020-05-26,20
2020-05-27,20
2020-05-28,22
2020-05-29,22
2020-05-30,23
2020-05-31,23
2020-06-01,23
2020-06-02,23
2020-06-03,23
2020-06-04,23
2020-06-05,23
2020-06-06,23
2020-06-07,23
2020-06-08,23
2020-06-09,23
2020-06-10,23
2020-06-11,23
2020-06-12,24
2020-06-13,25
2020-06-14,25
2020-06-15,26
2020-06-16,26
2020-06-17,26
2020-06-18,26
2020-06-19,27
2020-06-20,27
2020-06-21,27
2020-06-22,27
2020-06-23,28
2020-06-24,29
2020-06-25,29
2020-06-26,29
2020-06-27,30
2020-06-28,31
2020-06-29,31
2020-06-30,33
2020-07-01,33
2020-07-02,33
2020-07-03,33
2020-07-04,34
2020-07-05,34
2020-07-06,34
2020-07-07,34
2020-07-08,34
2020-07-09,36
2020-07-10,37
2020-07-11,37
2020-07-12,37
2020-07-13,37
2020-07-14,38
2020-07-15,38
2020-07-16,39
2020-07-17,39
2020-07-18,39
2020-07-19,39
2020-07-20,40
2020-07-21,41
2020-07-22,41
2020-07-23,42
2020-07-24,42
2020-07-25,42
2020-07-26,43
2020-07-27,45
2020-07-28,46
2020-07-29,46
2020-07-30,46
2020-07-31,46
2020-08-01,46
2020-08-02,46
2020-08-03,46
2020-08-04,48
2020-08-05,49
2020-08-06,49
2020-08-07,50
2020-08-08,50
2020-08-09,50
2020-08-10,50
