date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,1
2020-03-22,1
2020-03-23,1
2020-03-24,1
2020-03-25,1
2020-03-26,1
2020-03-27,1
2020-03-28,1
2020-03-29,1
2020-03-30,1
2020-03-31,1
2020-04-01,1
2020-04-02,1
2020-04-03,1
2020-04-04,2
2020-04-05,2
2020-04-06,3
2020-04-07,3
2020-04-08,3
2020-04-09,3
2020-04-10,3
2020-04-11,3
2020-04-12,5
2020-04-13,5
2020-04-14,5
2020-04-15,5
2020-04-16,5
2020-04-17,7
2020-04-18,7
2020-04-19,7
2020-04-20,7
2020-04-21,7
2020-04-22,8
2020-04-23,11
2020-04-24,11
2020-04-25,13
2020-04-26,15
2020-04-27,15
2020-04-28,15
2020-04-29,16
2020-04-30,16
2020-05-01,16
2020-05-02,17
2020-05-03,17
2020-05-04,19
2020-05-05,19
2020-05-06,21
2020-05-07,23
2020-05-08,24
2020-05-09,24
2020-05-10,26
2020-05-11,26
2020-05-12,27
2020-05-13,29
2020-05-14,29
2020-05-15,30
2020-05-16,33
2020-05-17,33
2020-05-18,35
2020-05-19,43
2020-05-20,45
2020-05-21,48
2020-05-22,51
2020-05-23,55
2020-05-24,58
2020-05-25,59
2020-05-26,63
2020-05-27,68
2020-05-28,80
2020-05-29,90
2020-05-30,102
2020-05-31,108
2020-06-01,116
2020-06-02,123
2020-06-03,143
2020-06-04,158
2020-06-05,216
2020-06-06,230
2020-06-07,252
2020-06-08,267
2020-06-09,289
2020-06-10,316
2020-06-11,334
2020-06-12,351
2020-06-13,367
2020-06-14,384
2020-06-15,399
2020-06-16,418
2020-06-17,432
2020-06-18,449
2020-06-19,483
2020-06-20,514
2020-06-21,531
2020-06-22,547
2020-06-23,582
2020-06-24,601
2020-06-25,623
2020-06-26,672
2020-06-27,706
2020-06-28,727
2020-06-29,746
2020-06-30,773
2020-07-01,817
2020-07-02,843
2020-07-03,880
2020-07-04,920
2020-07-05,947
2020-07-06,981
2020-07-07,1004
2020-07-08,1053
2020-07-09,1092
2020-07-10,1139
2020-07-11,1172
2020-07-12,1219
2020-07-13,1244
2020-07-14,1302
2020-07-15,1350
2020-07-16,1404
2020-07-17,1443
2020-07-18,1449
2020-07-19,1485
2020-07-20,1502
2020-07-21,1531
2020-07-22,1573
2020-07-23,1632
2020-07-24,1669
2020-07-25,1699
2020-07-26,1734
2020-07-27,1761
2020-07-28,1782
2020-07-29,1835
2020-07-30,1867
2020-07-31,1924
2020-08-01,1959
2020-08-02,1995
2020-08-03,2013
2020-08-04,2037
2020-08-05,2072
2020-08-06,2119
2020-08-07,2168
2020-08-08,2197
2020-08-09,2211
2020-08-10,2222
