date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,1
2020-03-22,1
2020-03-23,9
2020-03-24,9
2020-03-25,14
2020-03-26,14
2020-03-27,23
2020-03-28,30
2020-03-29,33
2020-03-30,33
2020-03-31,44
2020-04-01,44
2020-04-02,45
2020-04-03,48
2020-04-04,48
2020-04-05,52
2020-04-06,52
2020-04-07,52
2020-04-08,53
2020-04-09,53
2020-04-10,53
2020-04-11,53
2020-04-12,54
2020-04-13,54
2020-04-14,55
2020-04-15,55
2020-04-16,55
2020-04-17,56
2020-04-18,55
2020-04-19,55
2020-04-20,56
2020-04-21,61
2020-04-22,63
2020-04-23,74
2020-04-24,75
2020-04-25,75
2020-04-26,79
2020-04-27,79
2020-04-28,79
2020-04-29,81
2020-04-30,83
2020-05-01,85
2020-05-02,88
2020-05-03,89
2020-05-04,97
2020-05-05,98
2020-05-06,100
2020-05-07,101
2020-05-08,101
2020-05-09,116
2020-05-10,121
2020-05-11,121
2020-05-12,129
2020-05-13,139
2020-05-14,160
2020-05-15,203
2020-05-16,227
2020-05-17,227
2020-05-18,248
2020-05-19,260
2020-05-20,264
2020-05-21,160
2020-05-22,175
2020-05-23,198
2020-05-24,198
2020-05-25,222
2020-05-26,253
2020-05-27,281
2020-05-28,317
2020-05-29,329
2020-05-30,413
2020-05-31,417
2020-06-01,457
2020-06-02,489
2020-06-03,507
2020-06-04,522
2020-06-05,557
2020-06-06,593
2020-06-07,616
2020-06-08,646
2020-06-09,657
2020-06-10,665
2020-06-11,679
2020-06-12,686
2020-06-13,694
2020-06-14,696
2020-06-15,705
2020-06-16,724
2020-06-17,732
2020-06-18,741
2020-06-19,755
2020-06-20,763
2020-06-21,770
2020-06-22,774
2020-06-23,797
2020-06-24,805
2020-06-25,821
2020-06-26,833
2020-06-27,848
2020-06-28,859
2020-06-29,870
2020-06-30,889
2020-07-01,893
2020-07-02,902
2020-07-03,911
2020-07-04,927
2020-07-05,939
2020-07-06,953
2020-07-07,971
2020-07-08,977
2020-07-09,1000
2020-07-10,1006
2020-07-11,1013
2020-07-12,1025
2020-07-13,1029
2020-07-14,1040
2020-07-15,1043
2020-07-16,1051
2020-07-17,1056
2020-07-18,1062
2020-07-19,1065
2020-07-20,1069
2020-07-21,1072
2020-07-22,1075
2020-07-23,1079
2020-07-24,1089
2020-07-25,1103
2020-07-26,1115
2020-07-27,1128
2020-07-28,1135
2020-07-29,1140
2020-07-30,1147
2020-07-31,1154
2020-08-01,1176
2020-08-02,1182
2020-08-03,1195
2020-08-04,1203
2020-08-05,1213
2020-08-06,1223
2020-08-07,1254
2020-08-08,1267
