date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,1
2020-03-27,1
2020-03-28,1
2020-03-29,3
2020-03-30,7
2020-03-31,7
2020-04-01,10
2020-04-02,14
2020-04-03,15
2020-04-04,15
2020-04-05,22
2020-04-06,22
2020-04-07,22
2020-04-08,22
2020-04-09,23
2020-04-10,23
2020-04-11,24
2020-04-12,25
2020-04-13,25
2020-04-14,26
2020-04-15,31
2020-04-16,35
2020-04-17,41
2020-04-18,46
2020-04-19,46
2020-04-20,46
2020-04-21,46
2020-04-22,46
2020-04-23,47
2020-04-24,55
2020-04-25,59
2020-04-26,59
2020-04-27,61
2020-04-28,64
2020-04-29,66
2020-04-30,71
2020-05-01,75
2020-05-02,76
2020-05-03,82
2020-05-04,83
2020-05-05,93
2020-05-06,99
2020-05-07,105
2020-05-08,107
2020-05-09,108
2020-05-10,108
2020-05-11,116
2020-05-12,121
2020-05-13,123
2020-05-14,133
2020-05-15,134
2020-05-16,138
2020-05-17,142
2020-05-18,146
2020-05-19,147
2020-05-20,147
2020-05-21,156
2020-05-22,167
2020-05-23,167
2020-05-24,180
2020-05-25,182
2020-05-26,188
2020-05-27,194
2020-05-28,196
2020-05-29,196
2020-05-30,201
2020-05-31,212
2020-06-01,217
2020-06-02,225
2020-06-03,234
2020-06-04,243
2020-06-05,248
2020-06-06,250
2020-06-07,258
2020-06-08,262
2020-06-09,271
2020-06-10,290
2020-06-11,294
2020-06-12,306
2020-06-13,310
2020-06-14,312
2020-06-15,322
2020-06-16,330
2020-06-17,336
2020-06-18,343
2020-06-19,349
2020-06-20,358
2020-06-21,363
2020-06-22,395
2020-06-23,405
2020-06-24,417
2020-06-25,426
2020-06-26,471
2020-06-27,479
2020-06-28,479
2020-06-29,485
2020-06-30,497
2020-07-01,542
2020-07-02,591
2020-07-03,605
2020-07-04,629
2020-07-05,639
2020-07-06,656
2020-07-07,677
2020-07-08,694
2020-07-09,704
2020-07-10,750
2020-07-11,771
2020-07-12,774
2020-07-13,789
2020-07-14,807
2020-07-15,825
2020-07-16,835
2020-07-17,857
2020-07-18,891
2020-07-19,900
2020-07-20,935
2020-07-21,988
2020-07-22,1006
2020-07-23,1011
2020-07-24,1061
2020-07-25,1098
2020-07-26,1116
2020-07-27,1166
2020-07-28,1214
2020-07-29,1259
2020-07-30,1312
2020-07-31,1337
2020-08-01,1368
2020-08-02,1377
2020-08-03,1384
2020-08-04,1400
2020-08-05,1423
2020-08-06,1446
2020-08-07,1465
2020-08-08,1476
