date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,1
2020-03-28,2
2020-03-29,2
2020-03-30,3
2020-03-31,3
2020-04-01,3
2020-04-02,5
2020-04-03,7
2020-04-04,7
2020-04-05,7
2020-04-06,7
2020-04-07,7
2020-04-08,9
2020-04-09,9
2020-04-10,9
2020-04-11,9
2020-04-12,9
2020-04-13,9
2020-04-14,9
2020-04-15,9
2020-04-16,9
2020-04-17,9
2020-04-18,9
2020-04-19,9
2020-04-20,9
2020-04-21,10
2020-04-22,10
2020-04-23,10
2020-04-24,10
2020-04-25,10
2020-04-26,10
2020-04-27,10
2020-04-28,10
2020-04-29,10
2020-04-30,16
2020-05-01,10
2020-05-02,10
2020-05-03,10
2020-05-04,10
2020-05-05,10
2020-05-06,10
2020-05-07,10
2020-05-08,10
2020-05-09,10
2020-05-10,10
2020-05-11,10
2020-05-12,10
2020-05-13,10
2020-05-14,10
2020-05-15,10
2020-05-16,10
2020-05-17,10
2020-05-18,10
2020-05-19,10
2020-05-20,10
2020-05-21,10
2020-05-22,10
2020-05-23,10
2020-05-24,10
2020-05-25,10
2020-05-26,11
2020-05-27,11
2020-05-28,11
2020-05-29,14
2020-05-30,14
2020-05-31,14
2020-06-01,17
2020-06-02,18
2020-06-03,20
2020-06-04,20
2020-06-05,20
2020-06-06,22
2020-06-07,22
2020-06-08,22
2020-06-09,23
2020-06-10,23
2020-06-11,23
2020-06-12,23
2020-06-13,24
2020-06-14,25
2020-06-15,26
2020-06-16,27
2020-06-17,28
2020-06-18,28
2020-06-19,30
2020-06-20,33
2020-06-21,33
2020-06-22,35
2020-06-23,35
2020-06-24,38
2020-06-25,39
2020-06-26,41
2020-06-27,42
2020-06-28,44
2020-06-29,48
2020-06-30,51
2020-07-01,54
2020-07-02,57
2020-07-03,59
2020-07-04,62
2020-07-05,65
2020-07-06,68
2020-07-07,71
2020-07-08,75
2020-07-09,80
2020-07-10,83
2020-07-11,85
2020-07-12,89
2020-07-13,93
2020-07-14,96
2020-07-15,100
2020-07-16,104
2020-07-17,107
2020-07-18,110
2020-07-19,112
2020-07-20,116
2020-07-21,120
2020-07-22,124
2020-07-23,129
2020-07-24,134
2020-07-25,138
2020-07-26,142
2020-07-27,146
2020-07-28,151
2020-07-29,156
2020-07-30,158
2020-07-31,164
2020-08-01,169
2020-08-02,174
2020-08-03,180
2020-08-04,187
2020-08-05,195
2020-08-06,202
2020-08-07,208
2020-08-08,215
