date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,1.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,4.0
2020-03-18,1.0
2020-03-19,3.0
2020-03-20,0.0
2020-03-21,5.0
2020-03-22,0.0
2020-03-23,11.0
2020-03-24,48.0
2020-03-25,7.0
2020-03-26,16.0
2020-03-27,5.0
2020-03-28,0.0
2020-03-29,64.0
2020-03-30,3.0
2020-03-31,11.0
2020-04-01,11.0
2020-04-02,4.0
2020-04-03,24.0
2020-04-04,27.0
2020-04-05,16.0
2020-04-06,62.0
2020-04-07,26.0
2020-04-08,35.0
2020-04-09,60.0
2020-04-10,0.0
2020-04-11,89.0
2020-04-12,41.0
2020-04-13,52.0
2020-04-14,12.0
2020-04-15,0.0
2020-04-16,16.0
2020-04-17,34.0
2020-04-18,113.0
2020-04-19,46.0
2020-04-20,0.0
2020-04-21,69.0
2020-04-22,36.0
2020-04-23,52.0
2020-04-24,73.0
2020-04-25,0.0
2020-04-26,73.0
2020-04-27,14.0
2020-04-28,19.0
2020-04-29,55.0
2020-04-30,37.0
2020-05-01,58.0
2020-05-02,29.0
2020-05-03,36.0
2020-05-04,34.0
2020-05-05,32.0
2020-05-06,52.0
2020-05-07,55.0
2020-05-08,31.0
2020-05-09,65.0
2020-05-10,33.0
2020-05-11,30.0
2020-05-12,127.0
2020-05-13,55.0
2020-05-14,59.0
2020-05-15,46.0
2020-05-16,44.0
2020-05-17,48.0
2020-05-18,10.0
2020-05-19,34.0
2020-05-20,78.0
2020-05-21,70.0
2020-05-22,40.0
2020-05-23,25.0
2020-05-24,10.0
2020-05-25,47.0
2020-05-26,54.0
2020-05-27,79.0
2020-05-28,85.0
2020-05-29,109.0
2020-05-30,49.0
