date,confirmed
2020-01-22,0
2020-01-23,2
2020-01-24,2
2020-01-25,2
2020-01-26,2
2020-01-27,2
2020-01-28,2
2020-01-29,2
2020-01-30,2
2020-01-31,2
2020-02-01,6
2020-02-02,6
2020-02-03,8
2020-02-04,8
2020-02-05,8
2020-02-06,10
2020-02-07,10
2020-02-08,13
2020-02-09,13
2020-02-10,14
2020-02-11,15
2020-02-12,15
2020-02-13,16
2020-02-14,16
2020-02-15,16
2020-02-16,16
2020-02-17,16
2020-02-18,16
2020-02-19,16
2020-02-20,16
2020-02-21,16
2020-02-22,16
2020-02-23,16
2020-02-24,16
2020-02-25,16
2020-02-26,16
2020-02-27,16
2020-02-28,16
2020-02-29,16
2020-03-01,16
2020-03-02,16
2020-03-03,16
2020-03-04,16
2020-03-05,16
2020-03-06,16
2020-03-07,18
2020-03-08,30
2020-03-09,30
2020-03-10,31
2020-03-11,38
2020-03-12,39
2020-03-13,47
2020-03-14,53
2020-03-15,56
2020-03-16,61
2020-03-17,66
2020-03-18,75
2020-03-19,85
2020-03-20,91
2020-03-21,94
2020-03-22,113
2020-03-23,123
2020-03-24,134
2020-03-25,141
2020-03-26,153
2020-03-27,163
2020-03-28,174
2020-03-29,188
2020-03-30,203
2020-03-31,212
2020-04-01,218
2020-04-02,233
2020-04-03,237
2020-04-04,240
2020-04-05,241
2020-04-06,245
2020-04-07,249
2020-04-08,251
2020-04-09,255
2020-04-10,257
2020-04-11,258
2020-04-12,262
2020-04-13,265
2020-04-14,266
2020-04-15,267
2020-04-16,268
2020-04-17,268
2020-04-18,268
2020-04-19,268
2020-04-20,268
2020-04-21,268
2020-04-22,268
2020-04-23,268
2020-04-24,270
2020-04-25,270
2020-04-26,270
2020-04-27,270
2020-04-28,270
2020-04-29,270
2020-04-30,270
2020-05-01,270
2020-05-02,270
2020-05-03,271
2020-05-04,271
2020-05-05,271
2020-05-06,271
2020-05-07,288
2020-05-08,288
2020-05-09,288
2020-05-10,288
2020-05-11,288
2020-05-12,288
2020-05-13,288
2020-05-14,312
2020-05-15,314
2020-05-16,318
2020-05-17,320
2020-05-18,324
2020-05-19,324
2020-05-20,324
2020-05-21,324
2020-05-22,324
2020-05-23,325
2020-05-24,325
2020-05-25,326
2020-05-26,327
2020-05-27,327
2020-05-28,327
2020-05-29,328
2020-05-30,328
2020-05-31,328
2020-06-01,328
2020-06-02,328
2020-06-03,328
2020-06-04,328
2020-06-05,328
2020-06-06,329
2020-06-07,331
2020-06-08,332
2020-06-09,332
2020-06-10,332
2020-06-11,332
2020-06-12,333
2020-06-13,334
2020-06-14,334
2020-06-15,334
2020-06-16,334
2020-06-17,335
2020-06-18,342
2020-06-19,349
2020-06-20,349
2020-06-21,349
2020-06-22,349
2020-06-23,349
2020-06-24,352
2020-06-25,352
2020-06-26,353
2020-06-27,355
2020-06-28,355
2020-06-29,355
2020-06-30,355
2020-07-01,355
2020-07-02,355
2020-07-03,355
2020-07-04,355
2020-07-05,355
2020-07-06,369
2020-07-07,369
2020-07-08,369
2020-07-09,369
2020-07-10,370
2020-07-11,370
2020-07-12,372
2020-07-13,373
2020-07-14,373
2020-07-15,381
2020-07-16,381
2020-07-17,382
2020-07-18,382
2020-07-19,383
2020-07-20,384
2020-07-21,401
2020-07-22,408
2020-07-23,412
2020-07-24,415
2020-07-25,417
2020-07-26,420
2020-07-27,431
2020-07-28,446
2020-07-29,459
2020-07-30,509
2020-07-31,558
2020-08-01,590
2020-08-02,621
2020-08-03,652
2020-08-04,672
2020-08-05,717
2020-08-06,750
2020-08-07,789
2020-08-08,812
2020-08-09,841
2020-08-10,847
2020-08-11,866
2020-08-12,883
2020-08-13,911
2020-08-14,930
2020-08-15,951
2020-08-16,964
2020-08-17,983
2020-08-18,989
2020-08-19,994
2020-08-20,1007
2020-08-21,1009
2020-08-22,1014
2020-08-23,1016
2020-08-24,1022
2020-08-25,1029
2020-08-26,1034
2020-08-27,1036
2020-08-28,1038
2020-08-29,1040
2020-08-30,1040
2020-08-31,1044
2020-09-01,1044
2020-09-02,1046
2020-09-03,1046
2020-09-04,1049
2020-09-05,1049
2020-09-06,1049
2020-09-07,1049
2020-09-08,1054
2020-09-09,1059
2020-09-10,1059
2020-09-11,1060
2020-09-12,1060
2020-09-13,1063
2020-09-14,1063
2020-09-15,1063
2020-09-16,1063
2020-09-17,1066
2020-09-18,1068
2020-09-19,1068
2020-09-20,1068
2020-09-21,1068
2020-09-22,1068
2020-09-23,1069
2020-09-24,1069
2020-09-25,1069
2020-09-26,1069
2020-09-27,1074
2020-09-28,1077
2020-09-29,1094
2020-09-30,1094
2020-10-01,1095
2020-10-02,1096
2020-10-03,1096
2020-10-04,1096
2020-10-05,1097
2020-10-06,1098
2020-10-07,1099
2020-10-08,1100
2020-10-09,1105
2020-10-10,1107
2020-10-11,1109
2020-10-12,1110
