date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,3.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,3.0
2020-03-06,0.0
2020-03-07,3.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,2.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,4.0
2020-03-14,0.0
2020-03-15,8.0
2020-03-16,5.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,16.0
2020-03-20,0.0
2020-03-21,9.0
2020-03-22,12.0
2020-03-23,7.0
2020-03-24,15.0
2020-03-25,6.0
2020-03-26,29.0
2020-03-27,43.0
2020-03-28,17.0
2020-03-29,27.0
2020-03-30,64.0
2020-03-31,25.0
2020-04-01,61.0
2020-04-02,41.0
2020-04-03,43.0
2020-04-04,78.0
2020-04-05,63.0
2020-04-06,57.0
2020-04-07,76.0
2020-04-08,105.0
2020-04-09,104.0
2020-04-10,65.0
2020-04-11,67.0
2020-04-12,40.0
2020-04-13,50.0
2020-04-14,49.0
2020-04-15,56.0
2020-04-16,30.0
2020-04-17,57.0
2020-04-18,33.0
2020-04-19,25.0
2020-04-20,38.0
2020-04-21,44.0
2020-04-22,38.0
2020-04-23,30.0
2020-04-24,44.0
2020-04-25,25.0
2020-04-26,28.0
2020-04-27,33.0
2020-04-28,39.0
2020-04-29,49.0
2020-04-30,38.0
2020-05-01,50.0
2020-05-02,40.0
2020-05-03,38.0
2020-05-04,52.0
2020-05-05,76.0
2020-05-06,67.0
2020-05-07,77.0
2020-05-08,75.0
2020-05-09,143.0
2020-05-10,97.0
2020-05-11,70.0
2020-05-12,104.0
2020-05-13,65.0
