date,confirmed
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,2
2020-03-18,2
2020-03-19,5
2020-03-20,5
2020-03-21,6
2020-03-22,14
2020-03-23,17
2020-03-24,18
2020-03-25,18
2020-03-26,18
2020-03-27,24
2020-03-28,26
2020-03-29,33
2020-03-30,33
2020-03-31,34
2020-04-01,34
2020-04-02,46
2020-04-03,51
2020-04-04,52
2020-04-05,56
2020-04-06,60
2020-04-07,63
2020-04-08,63
2020-04-09,66
2020-04-10,67
2020-04-11,68
2020-04-12,71
2020-04-13,72
2020-04-14,72
2020-04-15,73
2020-04-16,75
2020-04-17,75
2020-04-18,75
2020-04-19,75
2020-04-20,75
2020-04-21,75
2020-04-22,75
2020-04-23,76
2020-04-24,77
2020-04-25,79
2020-04-26,79
2020-04-27,80
2020-04-28,80
2020-04-29,80
2020-04-30,81
2020-05-01,81
2020-05-02,81
2020-05-03,82
2020-05-04,82
2020-05-05,82
2020-05-06,82
2020-05-07,82
2020-05-08,83
2020-05-09,84
2020-05-10,84
2020-05-11,84
2020-05-12,85
2020-05-13,85
2020-05-14,85
2020-05-15,85
2020-05-16,86
2020-05-17,88
2020-05-18,88
2020-05-19,90
2020-05-20,90
2020-05-21,90
2020-05-22,90
2020-05-23,92
2020-05-24,92
2020-05-25,92
2020-05-26,92
2020-05-27,92
2020-05-28,92
2020-05-29,92
2020-05-30,92
2020-05-31,92
2020-06-01,92
2020-06-02,92
2020-06-03,92
2020-06-04,92
2020-06-05,92
2020-06-06,92
2020-06-07,92
2020-06-08,92
2020-06-09,92
2020-06-10,96
2020-06-11,96
2020-06-12,96
2020-06-13,96
2020-06-14,96
2020-06-15,97
2020-06-16,97
2020-06-17,97
2020-06-18,97
2020-06-19,97
2020-06-20,97
2020-06-21,97
2020-06-22,97
2020-06-23,97
2020-06-24,97
2020-06-25,97
2020-06-26,97
2020-06-27,97
2020-06-28,97
2020-06-29,97
2020-06-30,97
2020-07-01,97
2020-07-02,97
2020-07-03,97
2020-07-04,97
2020-07-05,98
2020-07-06,98
2020-07-07,98
2020-07-08,98
2020-07-09,98
2020-07-10,98
2020-07-11,103
2020-07-12,103
2020-07-13,103
2020-07-14,103
2020-07-15,104
2020-07-16,104
2020-07-17,104
2020-07-18,104
2020-07-19,105
2020-07-20,106
2020-07-21,106
2020-07-22,106
2020-07-23,106
2020-07-24,108
2020-07-25,108
2020-07-26,110
2020-07-27,110
2020-07-28,110
2020-07-29,110
2020-07-30,110
2020-07-31,110
2020-08-01,122
2020-08-02,132
2020-08-03,132
2020-08-04,132
2020-08-05,133
2020-08-06,133
2020-08-07,138
2020-08-08,138
2020-08-09,142
2020-08-10,142
2020-08-11,143
2020-08-12,144
2020-08-13,144
2020-08-14,148
2020-08-15,150
2020-08-16,151
2020-08-17,152
2020-08-18,153
2020-08-19,155
2020-08-20,156
2020-08-21,157
2020-08-22,158
2020-08-23,161
2020-08-24,161
2020-08-25,164
2020-08-26,165
2020-08-27,165
2020-08-28,166
2020-08-29,170
2020-08-30,173
2020-08-31,174
2020-09-01,176
2020-09-02,176
2020-09-03,177
2020-09-04,178
2020-09-05,178
2020-09-06,178
2020-09-07,179
2020-09-08,180
2020-09-09,180
2020-09-10,180
2020-09-11,180
2020-09-12,180
2020-09-13,181
2020-09-14,183
2020-09-15,184
2020-09-16,185
2020-09-17,185
2020-09-18,185
2020-09-19,185
2020-09-20,189
2020-09-21,189
2020-09-22,189
2020-09-23,189
2020-09-24,189
2020-09-25,190
2020-09-26,190
2020-09-27,190
2020-09-28,190
2020-09-29,190
2020-09-30,190
2020-10-01,193
2020-10-02,193
2020-10-03,196
2020-10-04,199
2020-10-05,200
2020-10-06,200
2020-10-07,203
2020-10-08,203
2020-10-09,204
2020-10-10,206
2020-10-11,208
2020-10-12,208
