date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,1.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,2.0
2020-03-09,0.0
2020-03-10,4.0
2020-03-11,6.0
2020-03-12,4.0
2020-03-13,7.0
2020-03-14,14.0
2020-03-15,13.0
2020-03-16,11.0
2020-03-17,0.0
2020-03-18,54.0
2020-03-19,34.0
2020-03-20,52.0
2020-03-21,38.0
2020-03-22,34.0
2020-03-23,128.0
2020-03-24,152.0
2020-03-25,155.0
2020-03-26,218.0
2020-03-27,243.0
2020-03-28,17.0
2020-03-29,93.0
2020-03-30,46.0
2020-03-31,27.0
2020-04-01,27.0
2020-04-02,82.0
2020-04-03,43.0
2020-04-04,80.0
2020-04-05,70.0
2020-04-06,31.0
2020-04-07,63.0
2020-04-08,96.0
2020-04-09,89.0
2020-04-10,69.0
2020-04-11,25.0
2020-04-12,145.0
2020-04-13,99.0
2020-04-14,143.0
2020-04-15,91.0
2020-04-16,99.0
2020-04-17,178.0
2020-04-18,251.0
2020-04-19,124.0
2020-04-20,142.0
2020-04-21,165.0
2020-04-22,170.0
2020-04-23,318.0
2020-04-24,267.0
2020-04-25,141.0
2020-04-26,185.0
2020-04-27,247.0
2020-04-28,203.0
2020-04-29,354.0
2020-04-30,297.0
2020-05-01,304.0
2020-05-02,385.0
2020-05-03,447.0
2020-05-04,437.0
2020-05-05,352.0
2020-05-06,236.0
2020-05-07,424.0
2020-05-08,663.0
2020-05-09,525.0
2020-05-10,595.0
2020-05-11,637.0
2020-05-12,698.0
2020-05-13,724.0
2020-05-14,665.0
2020-05-15,785.0
2020-05-16,831.0
2020-05-17,1160.0
2020-05-18,918.0
2020-05-19,767.0
2020-05-20,803.0
2020-05-21,1134.0
2020-05-22,988.0
2020-05-23,1218.0
2020-05-24,1240.0
2020-05-25,1032.0
2020-05-26,649.0
2020-05-27,1673.0
2020-05-28,1466.0
2020-05-29,1837.0
